ID,Cultural_Identity,Gender,Country_Region,Undergrad_Degree,Years_Work_Experience,Analytics_Work_Experience,Strength_of_Recommendation,Standardized_Test_Score,Legacy_Admission,Mission_Statement,Admitted
498,"Black, Non-Hispanic",Male,Americas,Math + Statistics,0.07,0.5354047759,2.95,-0.208194449,0,This program looks like it can help me gain a deeper understanding of data analysis and its applications.,0
499,Hispanic,Male,Americas,Economics,0.00,0,3.08,0.0025843563,1,I seek to leverage your program’s comprehensive training to enhance my problem-solving abilities and tackle complex analytical challenges effectively.,1
500,"White, Non-Hispanic",Male,EMEA,Math + Statistics,-0.24,3.1690745387,3.75,1.5504938862,0,Your program’s interdisciplinary approach will allow me to apply data analytics to various fields. This holistic perspective will prepare me to tackle diverse analytical challenges in my future career.,1
501,Asian,Female,APAC,Math + Statistics,-1.63,0,2.45,0.0673626275,0,"With a solid foundation in mathematics and experience in data analysis, I am excited to further my expertise through the Master of Analytics program. I am particularly drawn to the program's emphasis on hands-on learning and its potential to prepare me for a successful career in analytics.",0
502,Other,Male,Americas,Math + Statistics,1.35,0,3.35,-0.514392881,0,"Your program looks okay, I guess it can help me learn analytics.",0
503,Asian,Female,APAC,Analytics,6.24,0.9547585298,2.33,1.0132360386,0,I think this program can help me advance my career in analytics.,0
504,Other,Male,EMEA,Math + Statistics,2.64,0.7767719112,2.01,1.2658385781,0,,0
505,"White, Non-Hispanic",Male,Americas,Math + Statistics,4.29,2.5972015493,2.68,-0.761494887,1,I believe this program can help me achieve my goals in analytics.,1
506,"White, Non-Hispanic",Male,Americas,Math + Statistics,0.00,0,3.72,1.0342871797,0,"I am looking to advance my career in data analysis, and this program offers the right opportunities.",0
507,"White, Non-Hispanic",Male,EMEA,Analytics,-0.29,1.9170145355,3.49,0.462391235,0,I am excited to join your program to gain a deeper understanding of advanced analytical techniques and apply them to real-world challenges in the tech industry.,1
508,"White, Non-Hispanic",Female,Americas,Other,3.08,1.169645076,1.87,-1.581276096,0,,0
509,Asian,Female,APAC,Economics,-3.76,6.2160651164,3.80,-0.366987278,1,The Master of Analytics program offers the perfect blend of theoretical knowledge and practical experience. My background in economics and passion for data-driven decision-making make me an ideal candidate for this program. I am eager to contribute to and learn from this esteemed community.,0
510,"White, Non-Hispanic",Male,Americas,Information Sciences,-1.59,2.5293721152,3.77,-0.258101451,1,I aim to develop my skills in machine learning through your program to leverage advanced techniques in data analytics and drive innovation.,1
511,Asian,Female,APAC,Other,5.66,0.0552365777,1.28,-0.520610448,0,I think your program is good and I want to join. I like data and analytics.,0
512,Asian,Female,APAC,Economics,-4.71,0,3.04,0.217437909,0,I am excited about the chance to enhance my data analysis skills through your program.,0
513,"White, Non-Hispanic",Female,Americas,Other,0.00,0,3.25,0.1967118182,1,"I love data and analytics, so your program is good for me and I wanna join.",0
514,Asian,Male,APAC,Analytics,2.32,0,3.02,0.502166686,0,I believe your program offers the right mix of courses to help me succeed in analytics.,0
515,Asian,Male,APAC,Information Sciences,-1.28,1.3066405206,3.82,0.4971415296,0,My experience in data analysis and my passion for predictive modeling make the Master of Analytics program an ideal fit for me. I look forward to learning from esteemed faculty and contributing to impactful projects.,0
516,"White, Non-Hispanic",Male,EMEA,Economics,1.97,0.15711077,3.57,-0.451727438,0,"I want to develop my skills in analytics, and your program seems like a good fit.",0
517,"White, Non-Hispanic",Female,Americas,Analytics,7.06,0.4499759641,2.70,-0.39184603,0,Analytics is fun and your program is good so I want to join.,0
518,Asian,Female,Americas,Other,-1.54,1.9695015735,2.73,0.1292642333,0,,0
519,Other,Male,EMEA,Other,3.87,2.909066273,2.22,-0.997311308,0,I want to join your program to gain more insights into the field of analytics.,0
520,"Black, Non-Hispanic",Female,Americas,Other,2.45,1.9867940568,4.25,0.8847486473,0,,0
521,"Black, Non-Hispanic",Female,Americas,Analytics,-0.17,3.6294497398,3.95,2.0685608353,0,Your program’s commitment to innovation will inspire me to push the boundaries of data analytics. I am eager to explore new methodologies and technologies that can revolutionize the field.,1
522,Asian,Male,APAC,Economics,0.34,0.2714953474,4.35,0.3025439902,0,Your program’s emphasis on data ethics will help me become a responsible and impactful data analyst. Understanding the ethical implications of data usage is crucial for sustainable business practices.,0
523,Asian,Male,APAC,Math + Statistics,0.41,1.200768389,1.68,0.2967207736,0,I am motivated to join your program to develop my skills in data management and analysis. The program’s comprehensive coursework and practical experience will enhance my ability to tackle complex analytical challenges.,0
524,"Black, Non-Hispanic",Male,Americas,Other,-3.41,0.4074849009,3.44,-1.453996594,0,,0
525,"White, Non-Hispanic",Male,Americas,Information Sciences,-0.19,3.0824387527,4.28,1.7547850446,0,"With a background in computer science, I am eager to join your program to develop my skills in data analysis and machine learning, and to contribute to innovative projects.",1
526,Asian,Male,APAC,Other,0.32,0.9672766013,1.49,0.2306906435,0,,0
527,"Black, Non-Hispanic",Male,EMEA,Math + Statistics,0.57,0.9917094783,3.86,-0.438960917,0,Your program will help me get better at data. I want to learn more.,0
528,"White, Non-Hispanic",Male,Americas,Other,8.81,1.472214891,2.45,3.126301339,0,Your program looks like it can help me achieve my career goals in data analysis.,0
529,Other,Male,Americas,Analytics,-0.78,0,4.74,-0.231665774,0,Your program is good becuz I want to learn analytics and find a job.,0
530,Asian,Male,Americas,Math + Statistics,-0.46,0,5.00,0.3198637181,0,"As someone with a strong background in math and statistics, I am excited to join the Master of Analytics program. My experience in various analytical roles has equipped me with the skills needed to excel in this program. I am passionate about using data to uncover insights and drive strategic decisions, and I look forward to contributing to innovative projects.",1
531,Asian,Male,APAC,Math + Statistics,1.07,0.2317346575,2.29,0.6082949186,0,"I want to deepen my understanding of data analysis, and your program looks ideal.",0
532,Asian,Male,APAC,Other,2.54,2.3882136182,1.61,-0.717299991,0,,0
533,"Black, Non-Hispanic",Male,EMEA,Economics,4.28,5.5922667239,2.93,-1.611125479,0,Your program appears to have the courses I need to improve my data analysis skills.,0
534,Hispanic,Female,EMEA,Analytics,3.49,1.0087452713,3.79,-0.20549851,0,I aim to leverage your program’s focus on practical experience to gain hands-on skills in data analytics and apply them to drive business success.,0
535,Asian,Female,APAC,Analytics,0.30,3.4852818982,2.53,0.0893810383,0,"I love numbers and stuff, so I wanna join. This program looks awesome and I think I can do well.",0
536,Hispanic,Female,Americas,Other,1.11,0,3.30,0.07851657,0,,0
537,"Black, Non-Hispanic",Male,APAC,Information Sciences,0.00,0,2.88,1.5507316409,0,I am passionate about using data to make informed decisions. The Master of Analytics program's comprehensive curriculum and focus on practical applications will prepare me for a successful career in data analytics.,0
538,Other,Female,APAC,Math + Statistics,6.40,0,4.93,-0.638158877,0,Your program is good and I want to join. I love analytics and data.,0
539,Asian,Male,APAC,Other,10.23,2.7348470474,3.45,-1.188725977,0,,0
540,Asian,Male,APAC,Economics,-4.25,0.4212503457,3.59,1.2133729241,0,I am eager to join a community of innovators and thought leaders in your program. Collaborating with peers and learning from renowned faculty will enhance my analytical skills and broaden my professional network.,1
541,"Black, Non-Hispanic",Female,Americas,Other,-0.41,1.823735737,4.35,0.2148701092,0,,0
542,Asian,Female,APAC,Other,0.75,0,3.38,0.5368619637,0,I am excited about the prospect of learning more about data analysis through your program.,0
543,Asian,Female,APAC,Other,0.00,0,1.53,-0.155083884,0,"I love data. I want to earn lots of cash. Let me join your program, please!",0
544,"White, Non-Hispanic",Male,Americas,Other,-1.70,0,2.98,-2.690495485,1,I want to join your program because it's good. I have done some data work.,0
545,Other,Female,Americas,Other,1.88,0,3.89,-0.075937552,0,Your program looks like it can help me develop a deeper understanding of data analysis.,0
546,Asian,Male,EMEA,Economics,-2.29,1.3538202666,4.01,-0.631424545,0,,0
547,Hispanic,Female,EMEA,Math + Statistics,3.33,1.3129222696,2.82,-2.258713802,0,Your program is one option for me to get better at data.,0
548,"White, Non-Hispanic",Male,EMEA,Economics,-3.17,2.0305226297,4.21,0.5923518225,1,"With a background in economics, I am eager to join your program to develop my skills in data analytics and contribute to solving real-world business problems.",1
549,Asian,Female,APAC,Economics,-0.72,4.5647322339,2.63,-1.163501685,0,"I am eager to learn more about data analysis, and this program offers the courses I need to achieve my goals.",0
550,"White, Non-Hispanic",Male,Americas,Math + Statistics,10.93,0.2891758668,2.48,1.1603717082,0,This program seems like a good opportunity for me to advance my career in data analysis.,0
551,Asian,Male,APAC,Math + Statistics,3.02,0,1.67,-0.006344726,0,Your program is perfect for learning more about analytics. It's perfect for me.,0
552,"White, Non-Hispanic",Male,EMEA,Economics,3.25,0,3.44,1.1521007482,0,I am interested in learning more about analytics through your program.,0
553,Asian,Male,APAC,Information Sciences,4.07,3.3552529683,4.22,0.3964749007,0,"With a background in computer science, I am eager to join the Master of Analytics program to develop my skills in data analysis and machine learning, and to drive innovation in the tech industry.",0
554,Asian,Male,APAC,Economics,-1.74,2.1104714322,5.00,0.6443545265,0,I have a background in data science and want to expand my knowledge with your program.,0
555,"Black, Non-Hispanic",Female,Americas,Other,-1.71,0.2014888699,2.51,-1.088974045,1,,0
556,Asian,Female,APAC,Math + Statistics,0.37,0,3.60,1.0083546464,0,"I am eager to join the Master of Analytics program as someone who enjoys tackling complex problems. My solid foundation in math and statistics, along with significant analytical experience, makes me a great fit. I am passionate about using data to uncover insights and drive strategic decision-making.",1
557,"Black, Non-Hispanic",Female,Americas,Math + Statistics,3.86,0,3.19,1.3345456612,0,I seek to develop my analytical thinking through the rigorous coursework offered by your program. The program’s focus on critical thinking and problem-solving will enhance my ability to address complex challenges.,1
558,"White, Non-Hispanic",Female,EMEA,Math + Statistics,-1.38,0.1003693379,2.96,0.9235328262,0,I seek to enhance my problem-solving skills through the rigorous training offered by your program. The program’s focus on critical thinking and practical applications will prepare me to address complex analytical challenges.,1
559,Other,Female,EMEA,Analytics,0.00,0,4.56,2.2043552765,0,I seek to enhance my data storytelling skills through the comprehensive training offered by your program. Communicating complex data insights effectively is essential for driving business success.,0
560,Asian,Male,APAC,Math + Statistics,-1.55,0,5.00,-1.218232059,1,Mom and dad said grad school or job. Please let me into your program so I avoid a job.,0
561,"White, Non-Hispanic",Female,Americas,Economics,-0.74,3.4415111149,3.32,1.0293115734,0,I am passionate about transforming data into actionable insights. Your program's emphasis on real-world applications will prepare me to excel in the field of data analytics.,1
562,Asian,Male,APAC,Other,0.00,0,0.78,-0.050948516,0,,0
563,Asian,Male,APAC,Math + Statistics,0.69,2.9583713006,2.06,0.2435252689,0,I believe this program can help me better understand the field of analytics.,0
564,Asian,Male,APAC,Analytics,-0.12,0,3.20,-1.404178658,0,,0
565,Other,Male,Americas,Information Sciences,8.78,2.5307185493,1.86,0.3490993438,0,"With a strong foundation in statistics and a keen interest in predictive modeling, I am excited to join your program to gain advanced skills in analytics and contribute to impactful projects.",1
566,"White, Non-Hispanic",Male,Americas,Math + Statistics,0.00,0,1.77,-0.103488029,0,Your program looks cool and I want to join. I like analytics and want to learn.,0
567,"Black, Non-Hispanic",Female,Americas,Math + Statistics,0.36,3.362011412,2.73,0.5409952092,0,This program seems to offer the right courses to help me achieve my goals in data analysis.,0
568,"Black, Non-Hispanic",Male,Americas,Math + Statistics,10.62,0,3.26,0.9824251054,0,"As an individual who thrives on addressing complex challenges, I am excited to become part of the Master of Analytics program. My academic credentials in math and statistics, combined with practical analytical experience, make me an excellent fit. I am enthusiastic about using data to derive insights and drive strategic decision-making.",1
569,Hispanic,Male,APAC,Analytics,-5.76,1.7826684543,4.79,-0.841385715,0,"I am looking for a program that offers a solid foundation in analytics, and yours seems to fit.",0
570,Asian,Male,APAC,Economics,0.00,0,3.72,0.4422371145,0,I have a foundation in statistics and want to expand into data analysis with your program.,0
571,"White, Non-Hispanic",Female,Americas,Math + Statistics,-0.49,0,3.03,0.5388803784,0,I am eager to learn more about analytics through your program.,0
572,Asian,Female,APAC,Information Sciences,0.00,0,3.33,0.0267383111,0,"With a background in computer science, I am eager to join your program to develop my skills in data analysis and machine learning, and to contribute to innovative projects.",0
573,Asian,Female,APAC,Math + Statistics,0.23,2.8599734016,2.77,-0.485784566,0,"With a background in mathematics, I am eager to join your program to enhance my analytical skills and contribute to innovative solutions in various industries.",0
574,"White, Non-Hispanic",Male,Americas,Other,0.32,1.9999852924,3.57,-0.961472812,0,"Cuz I love analytics and data, I wanna join. Your program is good.",0
575,"White, Non-Hispanic",Female,EMEA,Math + Statistics,14.03,0,4.24,-0.847036892,0,,0
576,Asian,Male,APAC,Math + Statistics,3.09,0.37848734,4.43,0.9803606814,1,I am eager to join your program to gain expertise in big data technologies. The program’s focus on advanced analytics and practical applications will prepare me for the dynamic demands of the field.,1
577,Asian,Female,APAC,Other,-1.69,0,2.87,-1.015245477,0,Numbers are great and I wanna join. Program looks cool and I can do good.,0
578,"Black, Non-Hispanic",Male,Americas,Information Sciences,0.00,0,3.45,1.7945165812,0,I aim to develop expertise in data warehousing through your program’s specialized coursework. The program’s comprehensive training and practical experience will prepare me to manage and analyze large datasets effectively.,1
579,Asian,Male,APAC,Math + Statistics,1.40,5.5713691663,2.84,0.5201352876,1,This program seems to offer the practical experience I need to advance in analytics.,0
580,"White, Non-Hispanic",Female,Americas,Other,0.88,2.3193937528,3.24,0.6029626513,0,"Analytics is something I like, and your program is available.",0
581,Asian,Male,APAC,Math + Statistics,2.14,0.7158435174,4.45,-0.015614218,0,I wanna join your good program cuz I love analytics and data.,0
582,Asian,Male,APAC,Other,0.00,0,0.51,0.3385109442,0,,0
583,Asian,Male,Americas,Other,1.82,7.9951682184,1.83,-0.272723573,0,,0
584,Asian,Female,APAC,Analytics,-2.89,0,3.97,-0.449563447,0,I have been working with data and want to formalize my knowledge through your program.,0
585,Asian,Male,APAC,Other,0.37,0,3.17,0.4887468484,1,Joining your program would be good because I want to learn more.,0
586,"White, Non-Hispanic",Male,EMEA,Economics,5.79,0,4.70,-0.629029283,0,I believe your program offers the right mix of courses to help me succeed in data analysis.,0
587,Asian,Female,Americas,Math + Statistics,-0.26,0,3.52,-1.003217599,0,,0
588,"White, Non-Hispanic",Male,Americas,Other,-6.03,0.1928314922,1.65,0.1194990146,0,"I'm pretty great, so you should let me in.",0
589,"White, Non-Hispanic",Male,Americas,Math + Statistics,4.74,0,4.39,-0.436521396,1,I have some background in data analysis and I want to expand my skills with this program. It seems like a good fit for my career goals.,1
590,"White, Non-Hispanic",Male,Americas,Other,-3.87,0,4.81,-1.003915197,0,I think your program is nice and I want in. I have a bit of data experience.,0
591,Asian,Female,APAC,Information Sciences,21.99,1.317704555,3.64,0.3212705256,0,I have some background in data analysis and want to build on it through your program.,0
592,"White, Non-Hispanic",Male,EMEA,Other,0.53,0.8634693821,3.21,-0.933656956,0,"I want to deepen my understanding of analytics, and this program looks like it can provide the necessary training.",0
593,"White, Non-Hispanic",Male,EMEA,Other,-12.04,0,3.03,0.2061532162,0,I have been working in data analysis and want to deepen my skills through your program.,0
594,"Black, Non-Hispanic",Male,Americas,Other,-4.00,1.9329886497,4.49,-1.332990435,0,,0
595,Asian,Female,APAC,Economics,-2.20,3.8040108885,4.68,1.2326475055,1,"With a background in economics and a passion for data analysis, I am eager to join your program to gain advanced skills in analytics and contribute to solving complex business problems.",1
596,"White, Non-Hispanic",Female,Americas,Other,0.23,0,4.02,0.4398724795,0,I am excited about the prospect of developing my skills in analytics through your program.,0
597,Other,Female,EMEA,Economics,-1.27,0,3.02,-1.253718393,0,,0
598,Other,Male,EMEA,Other,1.63,0,1.53,0.2734029078,0,My parents say grad school or job. Please let me into your program so I don't have to get a job.,0
599,"White, Non-Hispanic",Male,APAC,Analytics,-1.33,0.2885091184,5.00,-0.017060159,0,Your program’s focus on ethical data usage aligns with my values and career aspirations. Understanding the ethical implications of data usage is crucial for responsible and impactful analysis.,1
600,Asian,Female,APAC,Math + Statistics,0.02,0.8903115121,2.77,1.2334894433,0,"I want to learn analytics, so your program might be good for me.",0
601,"White, Non-Hispanic",Female,EMEA,Economics,-1.37,0.4980894227,4.32,0.7183134078,0,Your program’s strong foundation in quantitative methods will help me excel in data analytics. The comprehensive coursework and practical experience will prepare me for the complexities of the field.,1
602,Asian,Male,APAC,Other,0.00,0,4.31,1.0358209189,0,I want to join your program to gain more knowledge in the field of data analysis.,0
603,"White, Non-Hispanic",Male,Americas,Math + Statistics,-2.48,0,2.97,0.3149689081,0,I seek to leverage your program’s comprehensive training to enhance my problem-solving abilities and tackle complex analytical challenges effectively.,1
604,"White, Non-Hispanic",Male,EMEA,Information Sciences,-1.66,1.2629025888,3.14,-1.938137389,0,This program looks like it can help me achieve my goals in data analysis.,0
605,Asian,Male,APAC,Information Sciences,7.06,0,4.29,0.5527379196,0,"With a background in computer science, I am eager to join the Master of Analytics program to develop my skills in data analysis and machine learning, and to drive innovation in the tech industry.",0
606,Asian,Male,APAC,Analytics,-1.89,1.8315993964,3.93,-1.380870611,1,I am eager to enhance my skills in analytics through your program.,0
607,Asian,Male,APAC,Other,2.77,0,3.89,-0.193663445,0,I am eager to enhance my skills in data analysis through your program.,0
608,"White, Non-Hispanic",Male,Americas,Other,-6.77,1.7504801452,3.46,-0.490389311,0,I believe this program can help me gain a better understanding of analytics.,0
609,Other,Female,Americas,Math + Statistics,2.18,1.1187112571,1.28,-0.90227453,1,,0
610,"White, Non-Hispanic",Male,Americas,Economics,0.40,7.2415322235,3.41,-0.409056192,0,I think your program can help me with my interest in data.,0
611,Hispanic,Female,EMEA,Information Sciences,-0.45,0.0919519342,2.96,0.7475298469,0,"Your program’s focus on interdisciplinary learning will allow me to integrate data analytics with my background in business, enabling me to develop holistic solutions.",0
612,Asian,Male,APAC,Information Sciences,-1.17,6.1410331621,4.64,-0.593919984,0,"I am looking for a program that can help me better understand analytics, and yours seems ideal.",0
613,"White, Non-Hispanic",Female,Americas,Math + Statistics,0.00,0,3.07,-0.309473491,0,Your program looks like it can help me develop the skills I need in data analysis.,0
614,Asian,Male,APAC,Other,-0.24,1.5902482445,2.81,-0.309734336,0,,0
615,"Black, Non-Hispanic",Male,Americas,Information Sciences,-0.73,0,3.08,0.8234408971,0,"I aim to harness the power of analytics to drive business decisions and innovations. Your program offers the perfect platform to develop my skills and knowledge, with its comprehensive coursework and access to industry experts.",1
616,Asian,Female,APAC,Math + Statistics,-0.61,0.9782106532,3.23,-0.751038422,0,I have been working in data and want to formalize my skills through your program.,0
617,"Black, Non-Hispanic",Male,Americas,Analytics,0.00,0,2.98,0.27099215,0,"I want to deepen my understanding of data analytics, and your program looks ideal.",0
618,Asian,Male,APAC,Math + Statistics,-1.98,1.159541631,2.83,0.4883322332,0,I believe this program can help me advance my career in data analysis.,0
619,"Black, Non-Hispanic",Female,Americas,Math + Statistics,0.10,0.1849242086,3.53,-0.975400855,1,"I wanna learn more about analytics, so your program is perfect for me.",0
620,Asian,Female,APAC,Math + Statistics,-2.05,0,1.51,0.9053930845,0,I think your program is good and I want to join. I have some data experience.,0
621,Asian,Male,Americas,Economics,1.18,0.708860526,4.61,1.4521426091,0,The Master of Analytics program is an ideal fit for my background in economics and my passion for data-driven decision-making. I am excited to learn from industry experts and apply my skills to address complex analytical challenges.,0
622,Hispanic,Female,Americas,Math + Statistics,9.27,1.9602554207,3.95,0.9450354446,0,Your program’s integration of theoretical and practical learning will prepare me for a successful career in data analytics. The comprehensive coursework and hands-on projects will enhance my analytical skills and practical expertise.,0
623,Other,Female,Americas,Math + Statistics,-2.81,1.054124009,2.70,0.7169787602,0,"I seek to enhance my problem-solving abilities through your program’s comprehensive training, equipping me with the skills needed to excel in the field of data analytics.",0
624,"White, Non-Hispanic",Female,Americas,Other,2.31,0.3510250704,2.92,-1.924496166,0,I have a strong interest in data analysis and believe this program is right for me.,0
625,"Black, Non-Hispanic",Female,Americas,Other,12.49,0.5088818749,4.15,0.2837397764,0,I am excited to join your program to gain a deeper understanding of data visualization techniques and enhance my ability to communicate complex data insights effectively.,0
626,"Black, Non-Hispanic",Male,Americas,Math + Statistics,-0.56,1.7007543418,4.05,-1.703815795,0,Your program’s emphasis on practical applications will prepare me to address complex analytical challenges and drive business growth in my future career.,0
627,"White, Non-Hispanic",Male,Americas,Information Sciences,1.26,0,2.59,0.670763809,0,"My journey in data analytics began during my undergraduate studies in information sciences. Since then, I have developed a keen interest in leveraging data to drive business success. The Master of Analytics program will allow me to refine my skills, learn from industry leaders, and contribute to innovative projects that have a real impact.",1
628,"White, Non-Hispanic",Male,Americas,Other,0.68,2.1395106302,2.83,0.697272402,0,I have some experience in data analysis and want to learn more.,0
629,Asian,Female,APAC,Analytics,-2.98,0.1397066312,4.16,-0.700516977,0,Your program is good for me becuz I wanna learn analytics and get a job.,0
630,"White, Non-Hispanic",Male,EMEA,Analytics,-2.63,0,4.93,-0.189595184,0,I have some experience in analytics and believe this program can help me grow.,0
631,Asian,Female,APAC,Other,-1.71,3.3977413514,4.60,-0.141527377,0,,0
632,Asian,Male,APAC,Math + Statistics,0.62,2.4988829154,2.06,-1.118671304,0,,0
633,"White, Non-Hispanic",Female,Americas,Math + Statistics,-0.33,0.4686368398,4.14,0.7384404558,0,Your program’s focus on hands-on projects will provide me with the practical experience necessary to excel in the field of data analytics and make a significant impact.,1
634,Other,Female,Americas,Math + Statistics,0.20,3.7676314256,1.50,-1.107055499,0,,0
635,Asian,Female,APAC,Other,-0.28,0,4.19,0.5881672761,0,I am passionate about transforming data into actionable insights. Your program's emphasis on real-world applications will prepare me to excel in the field of data analytics.,0
636,Asian,Female,APAC,Math + Statistics,-4.90,0.2157568629,4.96,-0.439668405,0,I am excited to join your program to gain a deeper understanding of advanced analytical techniques and apply them to real-world challenges in the tech industry.,0
637,Asian,Male,APAC,Math + Statistics,-0.89,0,5.00,0.0575015618,1,"With a degree in mathematics and a passion for data analysis, I am eager to join your program to develop my skills in analytics and contribute to solving complex problems in various industries.",1
638,"White, Non-Hispanic",Female,Americas,Economics,4.53,1.606286382,3.47,0.368394236,1,Your program’s robust curriculum will help me develop a holistic understanding of data science. Integrating theoretical knowledge with practical skills is essential for a successful career in analytics.,1
639,Asian,Female,APAC,Other,-0.28,1.9564397629,3.03,0.6449604313,1,I want to join your program cuz I think analytics is cool. I like data.,0
640,"White, Non-Hispanic",Male,Americas,Economics,1.32,1.4277194699,2.74,1.4462159555,0,"With a background in economics and a keen interest in data analysis, I am excited to join your program to gain advanced skills in analytics and apply them to drive business growth.",1
641,"White, Non-Hispanic",Female,EMEA,Other,0.50,0,4.55,2.0230540776,1,I seek to enhance my technical skills and knowledge through the advanced courses offered in your program. Continuous learning is essential for staying relevant in the fast-paced field of data analytics.,1
642,Asian,Male,APAC,Economics,18.61,0,3.71,0.7503938986,0,"Your program’s interdisciplinary approach will allow me to integrate data analytics with my background in economics, enabling me to tackle complex problems effectively.",0
643,"White, Non-Hispanic",Male,Americas,Math + Statistics,2.81,0,3.77,0.9122377596,0,Your program’s rigorous training in data visualization will enhance my ability to communicate complex data insights effectively. This skill is crucial for driving strategic decisions and gaining stakeholder buy-in in any organization.,1
644,"Black, Non-Hispanic",Male,Americas,Math + Statistics,-0.51,0,3.27,0.7721164872,0,"With a background in mathematics and a passion for data, I am excited to join your program to refine my skills and contribute to innovative projects that solve complex problems.",0
645,Asian,Male,APAC,Information Sciences,0.92,0,3.85,-0.152236104,0,Your program looks like it can provide the training I need to excel in analytics.,0
646,Asian,Male,APAC,Economics,1.23,0,3.40,-0.043472124,0,"I think your program looks alright, so I want to join.",0
647,Hispanic,Male,EMEA,Information Sciences,0.00,0,3.14,-1.981524004,0,,0
648,"White, Non-Hispanic",Female,Americas,Other,9.78,2.5456343481,0.97,2.3123971109,0,I am eager to enhance my skills in analytics through your program.,0
649,Asian,Male,APAC,Information Sciences,0.00,0,2.90,0.6945120701,0,I aim to leverage your program’s focus on practical experience to gain hands-on skills in data analytics and apply them to drive business success.,0
650,Hispanic,Female,EMEA,Math + Statistics,0.35,0.5248199972,3.61,-1.465896267,0,I want to join cuz I like analytics and data. Your program fits me.,0
651,"Black, Non-Hispanic",Female,Americas,Math + Statistics,5.28,0,3.48,-0.392833835,0,,0
652,"White, Non-Hispanic",Male,Americas,Math + Statistics,8.03,0.2673367283,4.19,-0.0210297,0,Your program looks like it can help me achieve my goals in data analysis.,0
653,"White, Non-Hispanic",Male,Americas,Information Sciences,0.18,3.2433283019,3.15,0.2974271489,0,I aim to develop my skills in predictive modeling and machine learning through your program to drive data-driven decisions in various industries.,1
654,Other,Male,APAC,Math + Statistics,0.51,1.7277289127,4.92,-0.835751987,0,I am excited to join your program to deepen my understanding of advanced analytical techniques and apply them to real-world challenges in the healthcare industry.,0
655,"White, Non-Hispanic",Female,APAC,Other,-0.08,0.4075915002,2.81,2.0065013101,0,Your program offers the courses I need to enhance my knowledge in data analytics.,0
656,Asian,Female,APAC,Math + Statistics,0.48,0.2363685022,1.94,0.4583230201,0,You should let me in because I'm awesome.,0
657,Hispanic,Female,Americas,Other,-1.58,0.3822505905,2.47,-0.5032573,1,,0
658,"White, Non-Hispanic",Male,Americas,Economics,0.40,1.3797038961,3.22,0.5939989965,1,I am excited to learn more about data analysis through your program.,1
659,Other,Male,APAC,Math + Statistics,-6.90,3.2390125871,3.55,1.2432932378,0,"With a strong foundation in statistics and a keen interest in predictive modeling, I am excited to join your program to gain advanced skills in analytics and contribute to impactful projects.",0
660,Asian,Male,APAC,Economics,-3.31,2.8066046599,4.72,0.2555967509,0,"With a background in economics and a keen interest in data analysis, I am excited to join your program to gain advanced skills in analytics and apply them to drive business growth.",0
661,Asian,Male,APAC,Math + Statistics,0.19,3.0635002843,3.47,1.1327894599,0,This program seems like a good opportunity for me to advance my career in data analysis.,0
662,"White, Non-Hispanic",Male,Americas,Information Sciences,0.69,0,4.46,0.4456887936,0,"I am excited about the opportunity to learn more about analytics, and this program seems like a good fit.",1
663,Asian,Male,APAC,Economics,4.11,0.0686465799,3.88,-0.570650279,0,,0
664,"White, Non-Hispanic",Female,Americas,Information Sciences,-1.78,7.3039910439,5.00,0.270416462,0,I believe this program can help me gain the skills needed to advance in analytics.,0
665,Asian,Female,APAC,Other,1.57,5.5870087385,4.49,-0.072318955,0,Numbers are fun and I wanna join your program. It looks cool and I think I'll do good.,0
666,Asian,Female,APAC,Other,-0.46,0,3.96,0.2479492783,1,"Your program is good and analytics is fun, so I wanna join.",0
667,Asian,Female,APAC,Math + Statistics,3.48,0,1.17,0.4572082827,1,Your program’s interdisciplinary approach will allow me to apply data analytics to various fields. This holistic perspective will prepare me to tackle diverse analytical challenges in my future career.,1
668,Asian,Male,APAC,Math + Statistics,4.26,1.4150679738,4.58,-0.276012278,0,I want to join becuz I think analytics is interesting and your program is nice.,0
669,Other,Male,Americas,Other,-0.01,0,2.38,0.3063172846,1,I bring some data analysis experience and seek to further my education in this field.,0
670,"White, Non-Hispanic",Female,Americas,Information Sciences,6.87,3.7273989658,3.38,0.2579473991,0,The interdisciplinary nature of your program will allow me to integrate data analytics with my background in computer science and business management. This will enable me to develop holistic solutions to real-world challenges.,1
671,Other,Male,APAC,Other,0.00,0,3.66,0.4379894638,0,,0
672,Asian,Male,APAC,Other,1.17,0,2.61,-0.125396591,0,,0
673,Asian,Male,APAC,Information Sciences,-0.24,0.1397699656,4.70,0.5324547071,0,I am passionate about using data to make informed decisions. The Master of Analytics program's comprehensive curriculum and focus on practical applications will prepare me for a successful career in data analytics.,0
674,Hispanic,Female,Americas,Math + Statistics,2.68,1.0749059875,2.09,0.3908343241,0,I am passionate about transforming data into actionable insights. Your program's emphasis on real-world applications will prepare me to excel in the field of data analytics.,0
675,Asian,Female,APAC,Math + Statistics,10.88,3.1003389746,3.87,0.7796218298,0,"I need to get into a program, and yours looks alright.",0
676,Asian,Female,APAC,Other,0.07,0,4.24,0.3002283376,0,"Your program is good cuz I like data and analytics is cool, so I wanna join.",0
